cluster;cluster_name;rank;feature;mean_shap;abs_shap;direction;feature_group
1;Закредитованные с историей просрочек;1;prev_mean_term;0.1006;0.1006;↑ риск;Предыдущие заявки
1;Закредитованные с историей просрочек;2;external_score_3;0.0796;0.0796;↑ риск;Внешние скоры
1;Закредитованные с историей просрочек;3;pos_months_total;-0.0757;0.0757;↓ риск;POS история
1;Закредитованные с историей просрочек;4;card_mean_util;0.0646;0.0646;↑ риск;Карты
1;Закредитованные с историей просрочек;5;pay_total;-0.0598;0.0598;↓ риск;Платежи
1;Закредитованные с историей просрочек;6;prev_mean_annuity;-0.057;0.057;↓ риск;Прочее
1;Закредитованные с историей просрочек;7;prev_credit_diff_ratio;0.0464;0.0464;↑ риск;Предыдущие заявки
1;Закредитованные с историей просрочек;8;prev_refused_ratio;0.0371;0.0371;↑ риск;Предыдущие заявки
1;Закредитованные с историей просрочек;9;card_max_util;0.0278;0.0278;↑ риск;Карты
1;Закредитованные с историей просрочек;10;pay_max_delay;0.0267;0.0267;↑ риск;Платежи
2;Проблемные плательщики;1;pay_late_ratio;0.2044;0.2044;↑ риск;Платежи
2;Проблемные плательщики;2;pay_max_delay;0.0905;0.0905;↑ риск;Платежи
2;Проблемные плательщики;3;pos_months_total;-0.0605;0.0605;↓ риск;POS история
2;Проблемные плательщики;4;pos_dpd_mean_12m;0.0535;0.0535;↑ риск;POS история
2;Проблемные плательщики;5;pos_dpd_weighted_mean;0.0525;0.0525;↑ риск;Прочее
2;Проблемные плательщики;6;external_score_3;0.0422;0.0422;↑ риск;Внешние скоры
2;Проблемные плательщики;7;pos_dpd_weighted_max;0.0384;0.0384;↑ риск;Прочее
2;Проблемные плательщики;8;external_score_2;0.0352;0.0352;↑ риск;Внешние скоры
2;Проблемные плательщики;9;goods_price;0.0319;0.0319;↑ риск;Кредит
2;Проблемные плательщики;10;pos_dpd_count;-0.0295;0.0295;↓ риск;Прочее
3;Заёмщики с крупными новыми кредитами;1;loan_amount;0.1109;0.1109;↑ риск;Кредит
3;Заёмщики с крупными новыми кредитами;2;goods_price;-0.0922;0.0922;↓ риск;Кредит
3;Заёмщики с крупными новыми кредитами;3;prev_mean_term;-0.0534;0.0534;↓ риск;Предыдущие заявки
3;Заёмщики с крупными новыми кредитами;4;monthly_annuity;0.0444;0.0444;↑ риск;Кредит
3;Заёмщики с крупными новыми кредитами;5;external_score_2;-0.0426;0.0426;↓ риск;Внешние скоры
3;Заёмщики с крупными новыми кредитами;6;external_score_3;-0.0367;0.0367;↓ риск;Внешние скоры
3;Заёмщики с крупными новыми кредитами;7;pay_late_ratio;-0.0344;0.0344;↓ риск;Платежи
3;Заёмщики с крупными новыми кредитами;8;pay_total;0.0342;0.0342;↑ риск;Платежи
3;Заёмщики с крупными новыми кредитами;9;pay_max_delay;-0.0249;0.0249;↓ риск;Платежи
3;Заёмщики с крупными новыми кредитами;10;pos_months_total;0.0237;0.0237;↑ риск;POS история
4;Консервативные с низкой нагрузкой;1;loan_amount;-0.1262;0.1262;↓ риск;Кредит
4;Консервативные с низкой нагрузкой;2;goods_price;0.1115;0.1115;↑ риск;Кредит
4;Консервативные с низкой нагрузкой;3;monthly_annuity;-0.0562;0.0562;↓ риск;Кредит
4;Консервативные с низкой нагрузкой;4;pay_total;0.0486;0.0486;↑ риск;Платежи
4;Консервативные с низкой нагрузкой;5;external_score_2;0.0486;0.0486;↑ риск;Внешние скоры
4;Консервативные с низкой нагрузкой;6;prev_mean_term;-0.0468;0.0468;↓ риск;Предыдущие заявки
4;Консервативные с низкой нагрузкой;7;pay_late_ratio;-0.0408;0.0408;↓ риск;Платежи
4;Консервативные с низкой нагрузкой;8;pos_months_total;0.0366;0.0366;↑ риск;POS история
4;Консервативные с низкой нагрузкой;9;prev_mean_annuity;0.0309;0.0309;↑ риск;Прочее
4;Консервативные с низкой нагрузкой;10;card_max_util;-0.028;0.028;↓ риск;Карты
